prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(kg/m2/s),evap_surface(kg/m2/s),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2),Soil_Moisture_Sum,Soil_Saturation,soil_awsc_max,Actual_Soil_Saturation,date,3082
0,28.99,14.11,21.55,363.25,272.92,-0.87,2.8,2.93,57.16,,2.32,0.68,0.05,0.43,2.96,62.62,174.64,492.46,732.68,732,125,5.856,01-02-1980,0
0,30.63,17.01,23.82,380.38,281.6,1.71,2.41,2.96,37.94,,2.64,0.75,0.01,0.47,2.87,62.53,174.44,492.38,732.22,731.47,125,5.85176,02-02-1980,0
0,30.4,17.78,24.09,386.55,281.07,1.25,2.18,2.51,38.24,,2.67,0.74,0,0.43,2.79,62.45,174.24,492.29,731.77,731.03,125,5.84824,03-02-1980,0
0,30.47,18,24.24,369.42,286.48,0.76,0.88,1.16,38.86,,2.62,0.7,0.01,0.43,2.71,62.37,174.03,492.18,731.29,730.59,125,5.84472,04-02-1980,0
0,30.61,16.51,23.56,362.14,289.58,1.91,-0.81,2.07,32.08,,2.58,0.67,0.01,0.41,2.63,62.3,173.85,492.1,730.88,730.21,125,5.84168,05-02-1980,0
0,30.12,15.64,22.88,323.32,297.74,-0.61,-3.14,3.2,20.15,,2.68,0.68,0,0.47,2.55,62.22,173.64,491.95,730.36,729.68,125,5.83744,06-02-1980,0
0,29.33,13.23,21.28,312.81,302.92,-1.1,-1.95,2.24,19.8,,2.67,0.66,0,0.46,2.48,62.13,173.44,491.88,729.93,729.27,125,5.83416,07-02-1980,0
0,28.89,13.25,21.07,325.85,301.09,-1.34,-0.18,1.35,25.66,,2.66,0.63,0,0.4,2.41,62.06,173.25,491.78,729.5,728.87,125,5.83096,08-02-1980,0
0,30,15.44,22.72,361.01,292.2,-0.07,0.96,0.96,51.43,,2.77,0.65,0.13,0.39,2.38,61.99,173.05,491.68,729.1,728.45,125,5.8276,09-02-1980,0
0,30.22,16.1,23.16,374.65,257.56,-0.96,-0.34,1.02,58.48,,2.26,0.51,0.04,0.38,2.46,61.92,172.86,491.56,728.8,728.29,125,5.82632,10-02-1980,0
0,30.15,15.14,22.64,356.35,294.31,-1.11,0.03,1.11,36.2,,2.79,0.61,0,0.41,2.4,61.85,172.69,491.46,728.4,727.79,125,5.82232,11-02-1980,0
0,31.6,16.02,23.81,347.34,302.56,-0.92,0.03,0.92,30.23,,2.83,0.6,0,0.41,2.33,61.78,172.49,491.38,727.98,727.38,125,5.81904,12-02-1980,0
0,31.72,16.04,23.88,344.42,305.11,-0.72,-0.13,0.73,35.11,,2.85,0.58,0,0.36,2.28,61.72,172.32,491.25,727.57,726.99,125,5.81592,13-02-1980,0
2.4,32.17,16.16,24.16,367.77,303.52,0.1,1.43,1.43,39.25,,2.99,1.65,0.01,0.32,2.26,61.67,172.18,491.21,727.32,728.07,125,5.82456,14-02-1980,0
1.83,33.51,18.24,25.88,386.28,299.55,-0.02,1.71,1.71,53.59,,2.74,1.1,0.39,0.38,2.67,61.61,172,491.14,727.42,728.15,125,5.8252,15-02-1980,0
0,30.95,18.02,24.48,365.66,302.9,1.67,-1.3,2.12,21.85,,3,0.91,0,0.41,2.54,61.55,171.86,491.02,726.97,726.06,125,5.80848,16-02-1980,0
0,32.15,15,23.58,327.27,317.17,0.25,-1.26,1.28,28.46,,2.92,0.67,0,0.41,2.46,61.49,171.69,490.94,726.58,725.91,125,5.80728,17-02-1980,0
0,31.5,15.22,23.36,335.79,316.29,-1.36,-0.1,1.36,31.05,,2.96,0.62,0,0.35,2.39,61.43,171.52,490.85,726.19,725.57,125,5.80456,18-02-1980,0
0,32.5,17.19,24.84,359.08,312.88,-0.75,0.38,0.84,30.59,,2.93,0.59,0,0.35,2.32,61.38,171.37,490.75,725.82,725.23,125,5.80184,19-02-1980,0
0,33.66,18.93,26.3,382.44,306.04,-0.06,0.9,0.9,42.39,,2.97,0.58,0.02,0.35,2.29,61.33,171.24,490.68,725.54,724.96,125,5.79968,20-02-1980,0
0,34.12,18.87,26.49,365.98,314.32,-0.61,0.94,1.12,28.65,,3.13,0.61,0,0.32,2.25,61.28,171.11,490.63,725.27,724.66,125,5.79728,21-02-1980,0
0,35.13,19.5,27.32,357.53,318.97,1.03,-0.16,1.04,33.37,,3.09,0.56,0,0.32,2.23,61.24,170.97,490.53,724.97,724.41,125,5.79528,22-02-1980,0
0,35.35,18.5,26.92,354.88,321.13,1.74,-1.3,2.17,20.65,,3.12,0.54,0,0.34,2.22,61.2,170.87,490.45,724.74,724.2,125,5.7936,23-02-1980,0
0,35.68,18.34,27.01,349.53,322.71,1.05,-2.03,2.29,16.88,,3.12,0.52,0,0.37,2.21,61.15,170.74,490.38,724.48,723.96,125,5.79168,24-02-1980,0
0,35.83,18.78,27.3,346.84,326.17,0.43,-1.34,1.41,22.21,,3.09,0.5,0,0.36,2.22,61.11,170.6,490.28,724.21,723.71,125,5.78968,25-02-1980,0
0,34.07,16.71,25.39,331.05,332.45,-0.06,-1.6,1.6,21.48,,3.04,0.48,0,0.37,2.21,61.06,170.45,490.2,723.92,723.44,125,5.78752,26-02-1980,0
0,34.09,16.1,25.1,334.86,333.82,-0.29,0.88,0.93,27.72,,3.07,0.46,0,0.3,2.21,61.01,170.31,490.15,723.68,723.22,125,5.78576,27-02-1980,0
0,35.93,17.58,26.76,345.43,333.17,1.66,0.71,1.81,22.1,,3.23,0.47,0,0.34,2.21,60.97,170.21,490.05,723.44,722.97,125,5.78376,28-02-1980,0
0,36.65,19.76,28.2,358.71,329.08,0.79,0.3,0.85,27.41,,3.22,0.48,0,0.34,2.21,60.93,170.07,489.95,723.16,722.68,125,5.78144,29-02-1980,0
0,35.9,19.65,27.78,360.4,324.25,1.45,-1.93,2.41,17.54,,3.22,0.44,0.02,0.36,2.22,60.88,169.94,489.9,722.94,722.5,125,5.78,01-03-1980,0
0,33.89,17.7,25.8,324.55,341.95,0.87,-1.84,2.04,14.58,,3.17,0.41,0,0.38,2.21,60.84,169.8,489.81,722.66,722.25,125,5.778,02-03-1980,0
0,33.67,17.48,25.58,343.88,338.8,1.73,-0.74,1.88,28.46,,3.24,0.41,0,0.32,2.21,60.8,169.67,489.75,722.43,722.02,125,5.77616,03-03-1980,0
0.2,36.19,18.45,27.32,358.08,335.51,1.69,-2.03,2.64,21.91,,3.28,0.4,0,0.32,2.21,60.76,169.57,489.67,722.21,722.01,125,5.77608,04-03-1980,0
0,35.85,19.75,27.8,361.69,335.24,1.14,0.56,1.27,28.1,,3.32,0.39,0,0.32,2.21,60.72,169.47,489.65,722.05,721.66,125,5.77328,05-03-1980,0
0,37.36,19.83,28.6,377.25,332.06,1.19,-0.37,1.25,20.11,,3.31,0.41,0,0.3,2.21,60.69,169.36,489.54,721.8,721.39,125,5.77112,06-03-1980,0
0,36.66,21.29,28.98,383.89,334.04,1.33,-0.18,1.34,21.49,,3.26,0.42,0,0.32,2.21,60.65,169.24,489.5,721.6,721.18,125,5.76944,07-03-1980,0
0,35.67,22.01,28.84,365.01,308.57,2.77,-1.37,3.09,20.88,,2.67,0.35,0,0.37,2.22,60.6,169.09,489.42,721.33,720.98,125,5.76784,08-03-1980,0
0,33.82,17.07,25.44,332.86,336.61,1.23,-1.31,1.8,16.53,,3.02,0.33,0,0.41,2.22,60.55,168.92,489.32,721.01,720.68,125,5.76544,09-03-1980,0
0,31.91,16.45,24.18,344.3,345.57,-1.64,0.44,1.7,29.7,,3.32,0.34,0,0.4,2.21,60.5,168.79,489.23,720.73,720.39,125,5.76312,10-03-1980,0
0,32.92,17.43,25.18,397.07,305.19,-0.3,1.54,1.57,37.32,,3.21,0.64,1.46,0.38,2.78,60.44,168.61,489.13,720.96,720.32,125,5.76256,11-03-1980,0
0,35.22,18.52,26.87,389.43,308.58,-1.57,0.27,1.59,41.87,,3.3,0.56,1.1,0.43,3.26,60.39,168.45,489.03,721.13,720.57,125,5.76456,12-03-1980,0
0,33.75,20.29,27.02,380.71,333.5,-0.35,-0.43,0.55,35.65,,3.29,0.4,0.03,0.42,3.23,60.35,168.34,488.97,720.89,720.49,125,5.76392,13-03-1980,0
0,34.27,20.47,27.37,379.14,338.84,-0.96,0.89,1.31,31.7,,3.5,0.54,0.08,0.43,3.16,60.3,168.18,488.84,720.48,719.94,125,5.75952,14-03-1980,0
0,35.37,19.83,27.6,389.11,338.72,0.39,1.24,1.3,29.04,,3.56,0.4,0.02,0.36,3.03,60.27,168.07,488.79,720.16,719.76,125,5.75808,15-03-1980,0
0,36.45,21.11,28.78,387.27,325.13,1.55,1.22,1.97,34.33,,3.32,0.57,0.26,0.39,3.08,60.22,167.95,488.72,719.97,719.4,125,5.7552,16-03-1980,0
0.2,36.61,21.26,28.94,387.11,339.04,0.04,1.45,1.45,28.1,,3.46,0.4,0.28,0.39,3.12,60.19,167.82,488.61,719.74,719.54,125,5.75632,17-03-1980,0
0,36.3,21.93,29.12,387.27,303.51,0.18,2.77,2.78,22.83,,3.32,0.32,0.05,0.37,2.98,60.15,167.7,488.54,719.37,719.05,125,5.7524,18-03-1980,0
0,37.19,21.39,29.29,391.02,344.72,0.94,2.96,3.11,25.57,,3.32,0.31,0.18,0.35,2.87,60.12,167.6,488.5,719.09,718.78,125,5.75024,19-03-1980,0
0,37.4,21.8,29.6,388.49,344.96,0.09,1.02,1.02,30.95,,3.51,0.31,0.18,0.3,2.76,60.09,167.52,488.45,718.82,718.51,125,5.74808,20-03-1980,0
0,38.4,22.56,30.48,388.32,347.19,0.14,1.08,1.09,24.93,,3.58,0.31,0.03,0.28,2.65,60.06,167.42,488.39,718.52,718.21,125,5.74568,21-03-1980,0
0,38.84,23.06,30.95,394.9,333.91,1.18,1.2,1.68,25.8,,3.46,0.28,0.06,0.3,2.72,60.03,167.34,488.32,718.41,718.13,125,5.74504,22-03-1980,0
0,39.34,23.62,31.48,396.62,335.48,1.65,1.61,2.31,25.21,,3.48,0.28,0.17,0.29,2.63,60,167.23,488.26,718.12,717.84,125,5.74272,23-03-1980,0
0,39.87,24.03,31.95,379.65,354.71,1.66,-0.72,1.81,17.75,,3.59,0.29,0,0.27,2.51,59.97,167.16,488.23,717.87,717.58,125,5.74064,24-03-1980,0
0,39.51,23.32,31.42,404.63,339.54,0.51,0.06,0.51,27.39,,3.69,0.27,0.06,0.22,2.42,59.95,167.07,488.2,717.64,717.37,125,5.73896,25-03-1980,0
0,39.51,24.32,31.92,398.83,345.51,0.47,2.02,2.07,31.1,,3.71,0.26,0.47,0.28,2.45,59.92,166.97,488.15,717.49,717.23,125,5.73784,26-03-1980,0
0,38.98,24.58,31.78,410.65,277.27,-0.05,1.86,1.86,27.51,,3.33,0.23,0.17,0.3,2.44,59.88,166.87,488,717.19,716.96,125,5.73568,27-03-1980,0
0,38.38,24.61,31.5,408.75,345.52,0.22,2.76,2.77,28.14,,3.86,0.26,0.02,0.27,2.46,59.85,166.76,487.93,717,716.74,125,5.73392,28-03-1980,0
0,38.31,25.3,31.8,410.46,347.99,1.46,2.16,2.61,30.93,,3.41,0.22,0.19,0.29,2.58,59.82,166.66,487.93,716.99,716.77,125,5.73416,29-03-1980,0
0,38.46,25.14,31.8,388.71,338.48,2.67,-1.87,3.26,18.04,,3.61,0.33,0.03,0.27,2.62,59.8,166.62,487.87,716.91,716.58,125,5.73264,30-03-1980,0
0,37.58,22.93,30.26,387.45,278.27,0.31,1.44,1.47,26.31,,3.7,0.25,0,0.29,2.51,59.77,166.5,487.76,716.54,716.29,125,5.73032,31-03-1980,0
0,38.67,23.02,30.84,412.07,333.19,0.31,1.79,1.82,38.37,,3.63,0.45,0.22,0.3,2.93,59.74,166.39,487.73,716.79,716.34,125,5.73072,01-04-1980,0
0,39.12,23.32,31.22,416.74,327.56,0.35,1.28,1.33,42.37,,3.55,0.48,0.59,0.33,3.69,59.7,166.27,487.66,717.32,716.84,125,5.73472,02-04-1980,0
0,38.71,23.56,31.14,405.12,268.3,0.77,2.2,2.33,29.48,,3.5,1.26,0.03,0.42,3.81,59.67,166.17,487.59,717.24,715.98,125,5.72784,03-04-1980,0
0,38.05,23.64,30.84,391.44,361.85,-0.01,2.01,2.01,26.57,,3.72,0.9,0.03,0.41,3.73,59.64,166.06,487.53,716.96,716.06,125,5.72848,04-04-1980,0
1.77,39.28,24.3,31.79,394.74,359.23,-0.43,2.31,2.35,24.37,,3.83,0.91,0.02,0.39,3.55,59.61,165.98,487.47,716.61,717.47,125,5.73976,05-04-1980,0
0.01,39.68,24.58,32.13,412.94,278.23,-0.33,1.62,1.65,33.33,,3.71,2.34,0.27,0.38,3.87,59.59,165.88,487.42,716.76,714.43,125,5.71544,06-04-1980,0
0,37.61,22.31,29.96,405.47,357.89,-0.84,0.2,0.86,48.79,,3.88,1.87,0.25,0.4,3.91,59.56,165.8,487.36,716.63,714.76,125,5.71808,07-04-1980,0
0,38.19,23.48,30.84,410.94,363.07,-0.69,1.56,1.71,22.73,,3.82,1.29,0.06,0.4,3.73,59.54,165.74,487.31,716.32,715.03,125,5.72024,08-04-1980,0
0,40.23,25.32,32.78,416.64,359.82,1.86,0.97,2.1,20.85,,3.84,0.9,0.02,0.34,3.52,59.52,165.68,487.25,715.97,715.07,125,5.72056,09-04-1980,0
0,41.89,24.75,33.32,398.19,368.62,1.75,-0.03,1.75,19.65,,3.92,0.63,0.09,0.31,3.28,59.5,165.6,487.21,715.59,714.96,125,5.71968,10-04-1980,0
0,42.21,26.82,34.52,405.24,360.96,0.93,0.45,1.03,24.38,,3.95,0.45,0.87,0.29,3.11,59.49,165.55,487.2,715.35,714.9,125,5.7192,11-04-1980,0
0,41.76,26.13,33.94,401.61,371.63,0.75,-0.29,0.8,18.41,,3.92,0.36,0.08,0.31,3.2,59.47,165.49,487.17,715.33,714.97,125,5.71976,12-04-1980,0
0,41.37,25.88,33.62,404.27,368.98,0.98,0.07,0.98,30.42,,3.92,0.34,0.06,0.25,2.99,59.46,165.46,487.09,715,714.66,125,5.71728,13-04-1980,0
1.02,42.01,25.41,33.71,407.57,326.66,-0.28,0.62,0.68,21.22,,3.89,0.34,0.02,0.26,2.81,59.44,165.38,487.04,714.67,715.35,125,5.7228,14-04-1980,0
0.72,41.79,26.92,34.36,428.94,280.47,-0.16,1.71,1.72,31.91,,1.72,0.2,0.84,0.27,2.87,59.42,165.32,487.02,714.63,715.15,125,5.7212,15-04-1980,0
0.21,40.02,25.9,32.96,403.55,370.06,-0.07,1.28,1.28,25.63,,1.46,0.17,0.11,0.26,2.87,59.4,165.26,486.99,714.52,714.56,125,5.71648,16-04-1980,0
0,37.38,23.47,30.42,403.79,369.68,0.57,1.16,1.29,16.01,,4,0.39,0.02,0.24,2.71,59.39,165.19,486.96,714.25,713.86,125,5.71088,17-04-1980,0
0,41.3,25.24,33.27,403.86,371.18,0.41,2.84,2.87,16.39,,3.77,0.29,0.01,0.22,2.6,59.37,165.15,486.88,714,713.71,125,5.70968,18-04-1980,0
0,42.17,27.27,34.72,418.04,353.21,-0.33,2.18,2.2,28.79,,3.61,0.25,0.34,0.2,2.55,59.35,165.08,486.83,713.81,713.56,125,5.70848,19-04-1980,0
0,42.75,27.33,35.04,411.57,373.81,0.53,2.2,2.26,18.07,,3.8,0.25,0.17,0.19,2.45,59.34,165.02,486.81,713.62,713.37,125,5.70696,20-04-1980,0
0,43.63,28.48,36.06,416.73,372.03,1.04,1.28,1.65,18.56,,3.86,0.26,0.03,0.19,2.4,59.32,164.99,486.78,713.49,713.23,125,5.70584,21-04-1980,0
0,43.78,29.78,36.78,430.72,365.65,2.1,1.79,2.76,20.6,,4.06,0.24,0.73,0.19,2.45,59.31,164.92,486.74,713.42,713.18,125,5.70544,22-04-1980,0
0,43.8,29.37,36.58,412.33,371.15,1.32,-2.13,2.51,16.71,,4.1,0.23,0.01,0.19,2.34,59.3,164.88,486.74,713.26,713.03,125,5.70424,23-04-1980,0
0,42.68,28.09,35.38,404.68,374.44,2.64,-0.73,2.74,13.85,,4,0.22,0,0.18,2.27,59.28,164.8,486.71,713.06,712.84,125,5.70272,24-04-1980,0
0,42.85,26.21,34.53,393.7,376.68,2.08,-0.73,2.2,11.86,,3.96,0.21,0.01,0.17,2.23,59.27,164.78,486.67,712.95,712.74,125,5.70192,25-04-1980,0
0,43.36,26.38,34.87,395.86,382.71,1.7,0.49,1.77,13.13,,3.97,0.2,0.02,0.18,2.21,59.25,164.74,486.63,712.83,712.63,125,5.70104,26-04-1980,0
0,42.98,26.72,34.85,389.54,389.17,0.28,0.84,0.89,15.87,,3.96,0.22,0,0.18,2.2,59.24,164.67,486.57,712.68,712.46,125,5.69968,27-04-1980,0
0,42.21,26.93,34.57,414.13,350.13,1.04,0.9,1.38,19.49,,3.95,0.18,0.01,0.17,2.21,59.22,164.62,486.56,712.61,712.43,125,5.69944,28-04-1980,0
0,42.54,27.63,35.08,412.89,369.26,0.23,1.04,1.07,21.15,,3.95,0.17,0.08,0.16,2.24,59.21,164.57,486.54,712.56,712.39,125,5.69912,29-04-1980,0
0,42.69,27.37,35.03,412.56,381.89,0.43,1.97,2.02,17.97,,3.92,0.17,0.01,0.17,2.3,59.19,164.52,486.51,712.52,712.35,125,5.6988,30-04-1980,0
0,42.97,27.06,35.02,421.32,378.92,-0.63,2.93,3,21.28,,4.17,0.2,0.52,0.18,2.25,59.18,164.47,486.46,712.36,712.16,125,5.69728,01-05-1980,0
0,42.77,28.97,35.87,419.95,378.45,-0.38,2.35,2.38,22.23,,4.23,0.42,0.08,0.19,2.46,59.16,164.4,486.4,712.42,712,125,5.696,02-05-1980,0
0,42.94,29.12,36.03,423.66,378.51,0.38,2.68,2.71,23.25,,4.32,0.36,0.16,0.2,2.62,59.15,164.34,486.36,712.47,712.11,125,5.69688,03-05-1980,0
0,43.04,29.19,36.12,434.13,353.63,0.88,2.05,2.23,15.97,,4,0.22,0.32,0.21,2.63,59.13,164.29,486.33,712.38,712.16,125,5.69728,04-05-1980,0
0,44.12,30.1,37.11,412.51,381.81,1.5,-1.07,1.84,16.03,,4.03,0.17,0.03,0.2,2.46,59.12,164.26,486.31,712.15,711.98,125,5.69584,05-05-1980,0
0,44.5,30.08,37.29,425.17,377.24,2.52,0.74,2.63,13.88,,3.38,0.13,0,0.19,2.33,59.1,164.2,486.29,711.92,711.79,125,5.69432,06-05-1980,0
0,43.61,29.71,36.66,406.24,387.04,2.3,-0.54,2.36,16.14,,3.72,0.14,0,0.18,2.24,59.09,164.15,486.28,711.76,711.62,125,5.69296,07-05-1980,0
0,43.06,28.22,35.64,431.53,354.79,1.04,1.63,1.93,22.26,,3.99,0.15,0.13,0.17,2.22,59.08,164.11,486.25,711.66,711.51,125,5.69208,08-05-1980,0
0,42.19,26.39,34.29,408.28,383.67,2.08,-1.07,2.34,15.72,,4.03,0.14,0.01,0.17,2.2,59.07,164.07,486.21,711.55,711.41,125,5.69128,09-05-1980,0
0,42.64,26.61,34.62,393.35,393.97,2.6,-0.37,2.63,15.53,,3.88,0.13,0.09,0.17,2.2,59.05,164.02,486.09,711.36,711.23,125,5.68984,10-05-1980,0
0,43.01,26.33,34.67,403.42,358.58,2.57,0.3,2.59,12.78,,3.94,0.13,0,0.17,2.2,59.03,163.96,486.08,711.27,711.14,125,5.68912,11-05-1980,0
0,42.83,27.1,34.97,402.89,392.35,2.34,0.18,2.35,26.57,,3.96,0.13,0.59,0.17,2.42,59.02,163.92,486.07,711.43,711.3,125,5.6904,12-05-1980,0
0,43.21,28.63,35.92,416.26,386.18,0.09,0.24,0.26,25.01,,4.21,0.21,0.37,0.21,2.78,59.01,163.86,486.04,711.69,711.48,125,5.69184,13-05-1980,0
0,43.03,30.38,36.7,421.2,386.78,0.88,2,2.19,25.11,,4.04,0.14,0.21,0.28,3.11,58.99,163.81,485.99,711.9,711.76,125,5.69408,14-05-1980,0
0.18,44.16,29.63,36.89,431.1,379.66,0.26,0.87,0.91,28.28,,3.98,0.12,0.45,0.26,3.01,58.98,163.75,485.96,711.7,711.76,125,5.69408,15-05-1980,0
0,43.19,29.53,36.36,424.49,375.27,0.8,0.02,0.8,20.76,,4.07,0.12,0.15,0.26,2.93,58.97,163.73,485.94,711.57,711.45,125,5.6916,16-05-1980,0
0,42.81,29.88,36.34,426.8,385.2,2.01,-0.6,2.1,20.73,,3.99,0.11,0.53,0.24,2.78,58.95,163.65,485.91,711.29,711.18,125,5.68944,17-05-1980,0
0,42.94,28.44,35.69,418.2,387.84,3.36,-0.8,3.45,17.99,,3.92,0.11,0.03,0.23,2.74,58.94,163.61,485.87,711.16,711.05,125,5.6884,18-05-1980,0
0,43.32,29.05,36.18,413.71,384.43,3.63,-1.2,3.82,17.29,,3.65,0.17,0,0.22,2.57,58.93,163.57,485.81,710.88,710.71,125,5.68568,19-05-1980,0
0,43.32,28.86,36.09,404.08,396.31,3.57,-2.11,4.15,13.6,,3.58,0.12,0,0.19,2.43,58.91,163.51,485.81,710.66,710.54,125,5.68432,20-05-1980,0
0,42.69,28.31,35.5,400.04,399.38,2.84,-1.57,3.25,12.51,,4.1,0.11,0,0.18,2.32,58.9,163.47,485.8,710.49,710.38,125,5.68304,21-05-1980,0
